99,99,99,83.10337511
48,37,41,78.01267216
48,0,0,82.97387822
0,37,0,81.07522994
0,0,41,78.12841195
48,37,0,81.07522994
0,37,41,78.01267216
48,0,41,77.89605198
0,36,0,82.93700185
48,36,0,82.71635361
48,38,41,78.42893144
0,38,0,84.06155803
48,38,0,83.94282821
0,38,41,78.42893144
0,31,0,74.7498221
48,31,0,71.91164286
48,38,43,82.12911052
0,0,43,81.15032182
0,38,43,82.12911052
48,0,43,81.15032182
0,33,0,83.73813509
0,0,40,84.14635423
48,33,0,84.98008692
48,0,40,84.14635423
49,0,0,83.15717025
0,32,0,77.14252032
48,32,0,76.80434198
48,32,44,76.65862069
0,0,44,81.67855855
0,32,44,77.12458658
48,0,44,81.61307331
0,0,46,80.46425202
48,0,46,80.46425202
48,32,45,85.42964235
0,0,45,87.62663627
0,32,45,85.71515323
48,0,45,88.19706363
49,0,45,80.09125691
48,37,44,75.41162918
0,37,44,75.41162918
0,0,47,85.54470333
48,0,47,84.96137775
0,0,39,81.92090511
48,0,39,81.9739998
48,38,39,84.94388226
0,38,39,84.93854418
0,0,42,76.93040777
48,0,42,76.93040777
49,0,47,85.2421107
48,38,44,83.81464558
0,38,44,83.59735271
48,36,44,80.4516565
0,36,44,80.4516565
48,37,46,79.13420075
0,37,46,79.13420075
48,38,46,80.46410922
0,38,46,80.46410922
48,36,46,79.43644273
0,36,46,79.43644273
49,0,39,81.51771848
48,33,47,83.61540495
0,33,47,82.05575894
48,38,42,77.81613506
0,38,42,77.81613506
48,38,47,86.55514855
0,38,47,87.3594781
48,38,45,88.33761113
0,38,45,87.63598025
0,36,39,75.18691187
48,36,47,84.78249643
0,36,47,86.20794771
48,36,39,75.06824877
48,36,45,85.11473882
0,36,45,84.83716764
48,36,43,91.4764699
0,36,43,91.4764699
48,36,40,80.0923293
0,36,40,80.0923293
0,34,0,79.77071654
0,34,44,81.96997846
48,34,0,78.60483053
48,34,44,79.23151208
48,37,40,78.56684945
0,37,40,78.56684945
48,37,45,89.79579391
0,37,45,89.79579391
48,38,40,86.63494419
0,38,40,86.63494419
48,37,47,84.92243602
0,37,47,84.92243602
0,35,0,82.54468112
48,35,0,81.39045332
0,35,47,84.82427413
48,37,43,71.14781838
0,37,43,71.14781838
49,38,47,87.59750758
49,38,0,84.57565369
49,38,45,79.10005603
49,38,39,84.89288624
